username;G_totalXp;G_accuracy;G_gamesPlayed;G_headshots;G_hits;G_misses;G_kdRatio;G_suicides;G_shots;G_scorePerMinute;G_hkRatio;G_wgRatio;contracts;kills;downs;deaths;kdRatio;revives;score;scorePerMinute;timePlayed;gamesPlayed;topFive;topTen;topTwentyFive;wins;averageLifetime;wgRatio;killsPerGame;downsPerGame
dilldoughttv#9194018;21978000.0;0.21888817846775055;20855.0;39996.0;101287.0;361447.0;2.453678846359253;29600.0;462734.0;7815.75696358434;0.242043535883517;0.0355310477103812;16449.0;122501.0;95985.0;36125.0;3.391031141868512;3120.0;97017150.0;459.4930950475006;12668371.0;16336.0;2461.0;3754.0;6955.0;1198.0;775.4879407443683;0.07333496571988248;7.498836924583742;5.875673359451518
veerix#3427972;7142312.0;0.20336316525936127;7251.0;13914.0;107149.0;419736.0;1.6875970363616943;6731.0;526885.0;2845.24092282458;0.21697568886740373;0.17638946352227278;7324.0;33162.0;36207.0;11170.0;2.968845120859445;3037.0;35470952.0;353.28783088720473;6024145.0;5352.0;2195.0;3007.0;4276.0;1101.0;1125.5876307922272;0.20571748878923768;6.196188340807175;6.765134529147982
JoeWo#1047822;16031417.0;0.24051302671432495;22194.0;43139.0;48156.0;152066.0;3.2271525859832764;59888.0;200222.0;29145.662578848474;0.2237465184670363;0.017977831846444987;7866.0;146267.0;149298.0;38052.0;3.84387154420267;2288.0;104585863.0;530.6985202115131;11824325.0;18540.0;2082.0;3158.0;6983.0;1094.0;637.7737324703344;0.05900755124056095;7.889266450916937;8.05275080906149
kizzlekicks_#5529479;21978000.0;0.22468037903308868;9557.0;17464.0;85603.0;295396.0;1.8176558017730713;16337.0;380999.0;2310.2481650817467;0.19924473194829495;0.1615569739457989;13109.0;45681.0;47358.0;14518.0;3.1465077834412454;3217.0;46354882.0;384.45778086306865;7234326.0;6531.0;2352.0;3327.0;4851.0;1094.0;1107.6903996325218;0.16750880416475272;6.994487827285255;7.251263206247129
SwagaShotz#8604004;21978000.0;0.1928916573524475;17853.0;13702.0;91752.0;383914.0;1.4503933191299438;19850.0;475666.0;7793.3596490729315;0.13684893882646693;0.040553408390746656;17664.0;56762.0;44949.0;28086.0;2.021006907355978;5497.0;82437603.0;350.66831466094095;14105227.0;13690.0;3168.0;4953.0;8403.0;1097.0;1030.3306793279767;0.08013148283418553;4.1462381300219135;3.283345507669832
albertofg4#8488082;21978000.0;0.24067412316799164;7829.0;16565.0;20207.0;63753.0;3.557978868484497;34269.0;83960.0;44599.39755248138;0.2202646100658201;0.013667135010857069;6400.0;64309.0;64842.0;15320.0;4.197715404699739;2450.0;57447473.0;492.6571108613017;6996445.0;6629.0;2297.0;3288.0;5150.0;1079.0;1055.4299290994118;0.1627696485141047;9.70116156282999;9.781565847035752
Hoppers#2990323;21978000.0;0.23922590911388397;10479.0;12556.0;4957.0;15764.0;2.681220769882202;29336.0;20721.0;79258.50061987991;0.2004597994763395;0.0038171581257753604;10143.0;54839.0;51338.0;16947.0;3.235911960819024;2289.0;49020703.0;372.4078012060664;7897907.0;8244.0;2333.0;3313.0;5117.0;1055.0;958.0188015526444;0.1279718583212033;6.651989325570112;6.227316836487142
smoki2vu#2819259;21978000.0;0.12963348627090454;23725.0;11524.0;4361.0;29280.0;1.0513864755630493;881.0;33641.0;104328.5216219252;0.21679584618857703;0.0024025289778714437;34288.0;53693.0;59198.0;50379.0;1.0657813771611186;11763.0;77520342.0;190.13703320577056;24462465.0;18672.0;5253.0;9379.0;16241.0;1050.0;1310.1148778920308;0.05623393316195373;2.87558911739503;3.17041559554413
SupaFreakNasty#5882183;16348758.0;0.16938309371471405;15213.0;25503.0;3045.0;14932.0;2.5514166355133057;44502.0;17977.0;205964.34190975208;0.24225354788456788;0.0017747978702425558;10854.0;67050.0;64223.0;26329.0;2.5466215959588285;3327.0;64464510.0;435.91970018360405;8872897.0;9850.0;2080.0;3068.0;5555.0;984.0;900.8017258883249;0.0998984771573604;6.807106598984771;6.52010152284264
TAZ#9459019;21978000.0;0.04370179772377014;14894.0;22475.0;17.0;372.0;2.343470335006714;3544.0;389.0;11822515.952380951;0.21195831565049275;0.0;12465.0;73636.0;61549.0;29559.0;2.491153286647045;2996.0;79295933.0;457.2170658535896;10405902.0;9900.0;2693.0;3963.0;6586.0;984.0;1051.101212121212;0.0993939393939394;7.437979797979798;6.217070707070707
KayzahR#2404383;9778825.0;0.23989002406597137;12605.0;37245.0;70585.0;223654.0;3.454575300216675;11595.0;294239.0;11219.439030963222;0.25257354437075313;0.05164617215390718;8054.0;72562.0;70871.0;16345.0;4.439400428265524;2248.0;56955708.0;542.0649032684809;6304305.0;6229.0;1690.0;2384.0;3916.0;967.0;1012.0894204527211;0.15524161181570076;11.64906084443731;11.377588698025365
gia#8036656;21978000.0;0.2295580357313156;17634.0;54337.0;233646.0;784162.0;2.6707205772399902;38031.0;1017808.0;4142.320545461024;0.23677593937782968;0.11148916865146875;8545.0;68015.0;75005.0;18116.0;3.754415985868845;3851.0;52174233.0;423.97795905210654;7383530.0;6554.0;2035.0;2712.0;3487.0;993.0;1126.5685077815074;0.15151052792187977;10.377631980469943;11.444156240463839
icemanisaac#7156344;6465142.0;0.23483826220035553;11379.0;22631.0;40000.0;130330.0;2.7325470447540283;12963.0;170330.0;10769.19692331706;0.23764070900537634;0.04332542402671588;8009.0;73924.0;62247.0;21257.0;3.4776308980571105;2399.0;58007743.0;478.51047199994395;7273539.0;9440.0;1669.0;2355.0;4169.0;961.0;770.5020127118644;0.10180084745762712;7.83093220338983;6.593961864406779
Revolt#1360012;21978000.0;0.2702248990535736;17582.0;28215.0;91887.0;248152.0;2.8899056911468506;22197.0;340039.0;14407.482876712329;0.1642546106557377;0.0287794335115459;9989.0;91770.0;94566.0;26471.0;3.4668127384685126;2767.0;70351050.0;449.546243038048;9389608.0;11394.0;2094.0;3232.0;6172.0;931.0;824.0835527470599;0.08170967175706512;8.054239073196419;8.299631384939442
ghost#5040040;15889622.0;0.23190544545650482;18352.0;21890.0;156077.0;516943.0;1.8590589761734009;950.0;673020.0;3040.6610850158813;0.18515542397969972;0.06887532693984307;12244.0;67313.0;66804.0;34498.0;1.951214563163082;4717.0;70891569.0;275.6470108831954;15430946.0;13430.0;3403.0;5739.0;10438.0;928.0;1148.9907669396873;0.06909903201787045;5.012137006701415;4.974236783320923
heleninha S2#3078284;21978000.0;0.27942955493927;16489.0;38389.0;211441.0;545247.0;3.311861038208008;11425.0;756688.0;13463.057571253716;0.1851892945353504;0.05318697313360422;10097.0;87996.0;85330.0;23313.0;3.7745463904259426;2677.0;79602671.0;554.5345096748861;8612918.0;9038.0;1908.0;3001.0;5809.0;904.0;952.9672493914583;0.10002212878955521;9.73622482850188;9.441248063730914
Mack#4664153;21978000.0;0.2117447853088379;14219.0;33967.0;271471.0;1010596.0;1.6782459020614624;17764.0;1282067.0;3471.3068223134687;0.20093703968812668;0.14389197552570504;15390.0;73319.0;38470.0;22497.0;3.259056763123972;1665.0;73407665.0;538.4864389309006;8179333.0;8031.0;1784.0;2650.0;4651.0;905.0;1018.4700535425227;0.11268833271074585;9.129498194496326;4.790188021417009
Cook14u#4591151;21978000.0;0.15125349164009094;25597.0;19032.0;16869.0;94659.0;1.4193936586380005;83359.0;111528.0;16124.351518826044;0.19236678256650763;0.015001758018517795;24139.0;74030.0;69833.0;50474.0;1.466695724531442;5098.0;94506683.0;280.5362791616506;20212719.0;21890.0;3604.0;6534.0;13299.0;892.0;923.3768387391503;0.04074920054819552;3.3819095477386933;3.1901781635449975
ShakenB8#7117788;21978000.0;0.3214225471019745;7203.0;19692.0;1907.0;4026.0;4.428670406341553;3771.0;5933.0;493402.16380182;0.23713301702752823;0.0011106483409690406;5444.0;70870.0;72972.0;14705.0;4.819449166950017;2362.0;43513631.0;488.45591326393446;5345043.0;4998.0;1710.0;2481.0;4335.0;884.0;1069.43637454982;0.17687074829931973;14.1796718687475;14.600240096038416
TheDeathDread#9895084;13140315.0;0.15746785700321198;14550.0;18319.0;71155.0;380715.0;1.3000648021697998;20966.0;451870.0;2844.659785902392;0.19863592990978488;0.08735395189003436;19158.0;41091.0;43184.0;23341.0;1.7604644188338117;4828.0;55235381.0;359.9513920718051;9207140.0;9341.0;2229.0;3386.0;5761.0;879.0;985.6696285194305;0.09410127395353816;4.398993683759769;4.62305962958998
